Abstract,DOI,ID,PublishedDate,Source,Title,Type,title_words,abstract_words,abstract_sentences
N/A (Too many requests)EMA announced that its human medicines committee (CHMP) has started a rolling review of data on the use of the investigational antiviral medicine remdesivir for the treatment of COVID-19. This means that the CHMP is assessing data as they become available on a rolling basis while development is still ongoing. This is one of the Agency's regulatory tools to speed up the evaluation of a promising investigational treatment during a public health emergency.,10.1016/j.jamda.2020.04.017N/A,DOI:10.1016/j.jamda.2020.04.017N/A,2020-04-2330 April,ELSEVIEREMA,THE GERIATRICIAN: THE FRONTLINE SPECIALIST IN THE TREATMENT OF COVID-19 PATIENTSTreatments and vaccines for COVID-19,Journal of the American Medical Directors AssociationUpdate,"['geriatrician', 'frontline', 'specialist', 'treatment', 'covid', '19', 'patientstreatments', 'vaccine', 'covid', '19']","['n', 'many', 'request', 'ema', 'announce', 'human', 'medicine', 'committee', 'chmp', 'start', 'roll', 'review', 'data', 'use', 'investigational', 'antiviral', 'medicine', 'remdesivir', 'treatment', 'covid', '19', 'mean', 'chmp', 'assess', 'data', 'become', 'available', 'roll', 'basis', 'development', 'still', 'ongoing', 'one', 'agency', 'regulatory', 'tool', 'speed', 'evaluation', 'promise', 'investigational', 'treatment', 'public', 'health', 'emergency']",
"N/A (Too many requests)EMA provided an update on the measures EU authorities are putting in place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events.",10.1016/j.neurol.2020.04.004N/A,DOI:10.1016/j.neurol.2020.04.004N/A,2020-04-2030 April,ELSEVIEREMA,Guidance for the care of neuromuscular patients during the COVID-19 pandemic outbreak from the French Rare Health Care for Neuromuscular Diseases NetworkAvailability of medicines during COVID-19 pandemic,Revue NeurologiqueUpdate,"['guidance', 'care', 'neuromuscular', 'patient', 'covid', '19', 'pandemic', 'outbreak', 'french', 'rare', 'health', 'care', 'neuromuscular', 'disease', 'networkavailability', 'medicine', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'provide', 'update', 'measure', 'eu', 'authority', 'put', 'place', 'support', 'continue', 'availability', 'medicine', 'pandemic', 'follow', 'meet', 'eu', 'executive', 'steer', 'group', 'shortage', 'medicine', 'cause', 'major', 'event']",
"N/A (Too many requests)EMA, the European Commission and the Heads of Medicines Agencies updated the Guidance on the management of clinical trials during the COVID-19 (coronavirus) pandemic. The updated guidance includes more recommendations on simple and flexible measures sponsors can take to manage clinical trials during the COVID-19 pandemic, given the impact it is having on European health systems and society in general.",10.1016/j.jtcvs.2020.04.059N/A,DOI:10.1016/j.jtcvs.2020.04.059N/A,2020-04-2728 April,ELSEVIEREMA,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical RecoveryGuidance for medicine developers and companies on COVID-19,The Journal of Thoracic and Cardiovascular SurgeryUpdate,"['adult', 'cardiac', 'surgery', 'covid', '19', 'pandemic', 'aggressive', 'infection', 'mitigation', 'strategy', 'necessary', 'operate', 'room', 'surgical', 'recoveryguidance', 'medicine', 'developer', 'company', 'covid', '19']","['n', 'many', 'request', 'ema', 'european', 'commission', 'head', 'medicine', 'agency', 'update', 'guidance', 'management', 'clinical', 'trial', 'covid', '19', 'coronavirus', 'pandemic', 'update', 'guidance', 'include', 'recommendation', 'simple', 'flexible', 'measure', 'sponsor', 'take', 'manage', 'clinical', 'trial', 'covid', '19', 'pandemic', 'give', 'impact', 'european', 'health', 'system', 'society', 'general']",
"N/A (Too many requests)EMA endorsed a joint statement by the members of the International Coalition of Medicines Regulatory Authorities (ICMRA). The statement commits the international regulators to strengthen global collaboration to facilitate rapid development, approval and roll-out of safe and effective medicines against COVID-19.",10.1016/j.fertnstert.2020.04.025N/A,DOI:10.1016/j.fertnstert.2020.04.025N/A,2020-04-1628 April,ELSEVIEREMA,"Prior and Novel Coronaviruses, COVID-19, and Human Reproduction: What Is Known?International Coalition of Medicines Regulatory Authorities (ICMRA)",Fertility and SterilityUpdate,"['prior', 'novel', 'coronaviruses', 'covid', '19', 'human', 'reproduction', 'know', 'international', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra']","['n', 'many', 'request', 'ema', 'endorse', 'joint', 'statement', 'member', 'international', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra', 'statement', 'commit', 'international', 'regulator', 'strengthen', 'global', 'collaboration', 'facilitate', 'rapid', 'development', 'approval', 'roll', 'safe', 'effective', 'medicine', 'covid', '19']",
"N/A (Too many requests)EMA provided an update on the measures EU authorities are putting in place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events. This includes the development of guidance for pharmaceutical companies responsible for veterinary medicines on adaptations of the regulatory framework to address COVID-19-related challenges.",10.1016/j.athoracsur.2020.04.007N/A,DOI:10.1016/j.athoracsur.2020.04.007N/A,2020-04-2724 April,ELSEVIEREMA,Adult Cardiac Surgery and the COVID-19 Pandemic: Aggressive Infection Mitigation Strategies are Necessary in the Operating Room and Surgical RecoveryAvailability of medicines during COVID-19 pandemic,The Annals of Thoracic SurgeryUpdate,"['adult', 'cardiac', 'surgery', 'covid', '19', 'pandemic', 'aggressive', 'infection', 'mitigation', 'strategy', 'necessary', 'operate', 'room', 'surgical', 'recoveryavailability', 'medicine', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'provide', 'update', 'measure', 'eu', 'authority', 'put', 'place', 'support', 'continue', 'availability', 'medicine', 'pandemic', 'follow', 'meet', 'eu', 'executive', 'steer', 'group', 'shortage', 'medicine', 'cause', 'major', 'event', 'include', 'development', 'guidance', 'pharmaceutical', 'company', 'responsible', 'veterinary', 'medicine', 'adaptation', 'regulatory', 'framework', 'address', 'covid', '19', 'relate', 'challenge']",
"N/A (Too many requests)EMA and the national competent authorities reminded patients with suspected or confirmed COVID-19 to report any suspected side effects that they are experiencing with any medicine, including medicines taken to treat COVID-19 and pre-existing conditions. Healthcare professionals treating COVID-19 patients should also report the suspected side effects that their patients are experiencing. These reports help regulators understand how medicines act in patients with COVID-19, complementing the knowledge generated in clinical trials and other studies.",10.1016/j.thromres.2020.04.024N/A,DOI:10.1016/j.thromres.2020.04.024N/A,2020-04-2324 April,ELSEVIEREMA,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, ItalyPublic-health advice during COVID-19 pandemic",Thrombosis ResearchUpdate,"['venous', 'arterial', 'thromboembolic', 'complication', 'covid', '19', 'patient', 'admit', 'academic', 'hospital', 'milan', 'italypublic', 'health', 'advice', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'national', 'competent', 'authority', 'remind', 'patient', 'suspect', 'confirm', 'covid', '19', 'report', 'suspect', 'side', 'effect', 'experience', 'medicine', 'include', 'medicine', 'take', 'treat', 'covid', '19', 'pre', 'exist', 'condition', 'healthcare', 'professional', 'treat', 'covid', '19', 'patient', 'also', 'report', 'suspect', 'side', 'effect', 'patient', 'experience', 'report', 'help', 'regulator', 'understand', 'medicine', 'act', 'patient', 'covid', '19', 'complement', 'knowledge', 'generate', 'clinical', 'trial', 'study']",
N/A (Too many requests)EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s closure on 27 April and on 1 May 2020.,10.1016/j.ekir.2020.04.001N/A,DOI:10.1016/j.ekir.2020.04.001N/A,2020-04-0423 April,ELSEVIEREMA,"Management of Patients on Dialysis and With Kidney Transplantation During the SARS-CoV-2 (COVID-19) Pandemic in Brescia, ItalyEMA’s governance during COVID-19 pandemic",Kidney International ReportsUpdate,"['management', 'patient', 'dialysis', 'kidney', 'transplantation', 'sars', 'cov', '2', 'covid', '19', 'pandemic', 'brescia', 'italyema', 'governance', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'announce', 'essential', 'work', 'combat', 'covid', '19', 'pandemic', 'would', 'continue', 'agency', 'closure', '27', 'april', '1', 'may', '2020']",
"N/A (Too many requests)EMA reminded patients and healthcare professionals that chloroquine and hydroxychloroquine medicines are known to potentially cause certain side effects, including heart rhythm problems. Healthcare professionals should carefully consider the possibility of heart rhythm problems when treating COVID-19 patients with these medicines, particularly in patients with pre-existing heart problems and with higher doses, and exercise extra caution when combining treatment with other medicines such as azithromycin that have similar effects on the heart.",10.1016/j.ando.2020.04.005N/A,DOI:10.1016/j.ando.2020.04.005N/A,2020-04-2123 April,ELSEVIEREMA,Renin-angiotensin-aldosterone system and COVID-19 infectionPublic-health advice during COVID-19 pandemic,Annales d'EndocrinologieUpdate,"['renin', 'angiotensin', 'aldosterone', 'system', 'covid', '19', 'infectionpublic', 'health', 'advice', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'remind', 'patient', 'healthcare', 'professional', 'chloroquine', 'hydroxychloroquine', 'medicine', 'know', 'potentially', 'cause', 'certain', 'side', 'effect', 'include', 'heart', 'rhythm', 'problem', 'healthcare', 'professional', 'carefully', 'consider', 'possibility', 'heart', 'rhythm', 'problem', 'treat', 'covid', '19', 'patient', 'medicine', 'particularly', 'patient', 'pre', 'exist', 'heart', 'problem', 'higher', 'do', 'exercise', 'extra', 'caution', 'combine', 'treatment', 'medicine', 'azithromycin', 'similar', 'effect', 'heart']",
"N/A (Too many requests)EMA participated in the global regulators’ meeting on COVID-19-related policy approaches and regulatory flexibility on Thursday, 16 April, under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). Participants discussed high-level policy issues and regulatory challenges related to the rapid development of potential COVID-19 treatments and vaccines and the continued availability of medicines during the pandemic, in particular those used in intensive care. The meeting was the first of a series of bi-weekly meetings organised by ICMRA to allow medicine regulators worldwide to exchange information and build synergies for expediting COVID-19 medicine and vaccine development and approval and avoiding medicine shortages. EMA will chair every other meeting.",10.1016/j.jaci.2020.04.029N/A,DOI:10.1016/j.jaci.2020.04.029N/A,2020-04-2921 April,ELSEVIEREMA,Type I IFN immunoprofiling in COVID-19 patientsInternational Coalition of Medicines Regulatory Authorities (ICMRA),Journal of Allergy and Clinical ImmunologyUpdate,"['type', 'ifn', 'immunoprofiling', 'covid', '19', 'patientsinternational', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra']","['n', 'many', 'request', 'ema', 'participate', 'global', 'regulator', 'meet', 'covid', '19', 'relate', 'policy', 'approach', 'regulatory', 'flexibility', 'thursday', '16', 'april', 'umbrella', 'international', 'coalition', 'medicine', 'regulatory', 'authority', 'icmra', 'participant', 'discuss', 'high', 'level', 'policy', 'issue', 'regulatory', 'challenge', 'relate', 'rapid', 'development', 'potential', 'covid', '19', 'treatment', 'vaccine', 'continue', 'availability', 'medicine', 'pandemic', 'particular', 'use', 'intensive', 'care', 'meet', 'first', 'series', 'bi', 'weekly', 'meet', 'organise', 'icmra', 'allow', 'medicine', 'regulator', 'worldwide', 'exchange', 'information', 'build', 'synergy', 'expedite', 'covid', '19', 'medicine', 'vaccine', 'development', 'approval', 'avoid', 'medicine', 'shortage', 'ema', 'chair', 'every', 'meet']",
"N/A (Too many requests)EMA announced that it had launched, together with EU Member States and the pharmaceutical industry, an enhanced fast-track monitoring system to help prevent and mitigate supply issues with crucial medicines used for treating COVID-19 patients. Initially, the system will focus on medicines used in intensive care, which are in greatest demand, before extending to a broader range of medicines. The monitoring system, which involves each pharmaceutical company appointing an industry single point of contact (iSPOC), was set up by the EU Executive Steering Group on Shortages of Medicines Caused by Major Events in cooperation with pharmaceutical companies in the EU.",10.1016/j.therap.2020.04.004N/A,DOI:10.1016/j.therap.2020.04.004N/A,2020-04-2321 April,ELSEVIEREMA,THERAP–COVID-19Availability of medicines during COVID-19 pandemic,TherapiesUpdate,"['therap', 'covid', '19availability', 'medicine', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'announce', 'launch', 'together', 'eu', 'member', 'state', 'pharmaceutical', 'industry', 'enhance', 'fast', 'track', 'monitor', 'system', 'help', 'prevent', 'mitigate', 'supply', 'issue', 'crucial', 'medicine', 'use', 'treat', 'covid', '19', 'patient', 'initially', 'system', 'focus', 'medicine', 'use', 'intensive', 'care', 'greatest', 'demand', 'extend', 'broader', 'range', 'medicine', 'monitor', 'system', 'involve', 'pharmaceutical', 'company', 'appoint', 'industry', 'single', 'point', 'contact', 'ispoc', 'set', 'eu', 'executive', 'steer', 'group', 'shortage', 'medicine', 'cause', 'major', 'event', 'cooperation', 'pharmaceutical', 'company', 'eu']",
